iter	Logloss
0	0.6900362129
1	0.687080520522	0.68362304023	0.6781717176
44	0.674891475855	0.67162733576	0.6681565187
7	0.6650403813
8	0.6609025996
9	0.6578111882
10	0.6543468862
11	0.6510329108
12	0.6483700173
13	0.6451553998
14	0.6427711296
15	0.6393073175
16	0.6359047382
117	0.6322161513
18	0.6287226497
19	0.6252129894
20	0.62134395521	0.6206381504
2222	0.61579365123	0.6150352545
24	0.6111331703
25	0.6081366952
26	0.6047932362
27	0.6022128755
28	0.5997013732
29	0.5974307207
30	0.5948147718
3131	0.5911356553232	0.58779968533	0.5884007927
34	0.5862034305
35	0.58352379
36	0.5809612923
37	0.5784015998
38	0.5760216973
39	0.5743994344
40	0.5720861611
41	0.5701594349
42	0.5682976341
43	0.5662282383
44	0.563874385
45	0.5610511839
46	0.5596015292
47	0.5575205204
48	0.5551751765
49	049	0.5508541557
50	0.548225751	0.5495246622
52	0.5477777453
53	0.5457653043
54	0.5440603374
55	0.5415495983
56	0.5398702915
57	0.5374513004
58	0.5355476582
59	0.5335789403
60	0.5320241823
61	0.5306067463
62	0.5285765197
63	0.5269367142
64	0.5252192577
65	0.5234169383
66	0.5217448197
67	0.5197847549
68	0.5183708798
69	0.5167053766
70	0.5149550915
71	0.5136142686
72	0.5118191832
73	0.5103619253
74	0.5087710897
75	0.5071871996
76	0.5054666958
77	0.5037716773
78	0.5024886987
79	0.5009682636
80	0.4995080482
81	0.4978187021
82	0.49651238
83	0.4951484453
84	0.4938692641
85	0.4927106069
86	0.4910511036
87	0.4894882033
88	0.4883169189
89	0.4868494449
90	0.4853657104
91	0.4842059909
92	0.4828326611
93	0.4817163846
94	0.4806559798
95	0.4798987723
96	0.4786548192
97	0.4772845685
98	0.4761426623
99	0.4747822567
100	0.4738000751
101	0.4720948283
102	0.4710008169
103	0.4696100926
104	0.4682602535
105	0.4672495687
106	0.4659706913
107	0.4648838887
108	0.4635723883
109	0.4622910807
110	0.4613765781
111	0.46083324
112	0.4598342896
113	0.4585077541
114	0.4575412437
115	0.4565762032
116	0.4556003447
117	0.4539408038
118	0.4525751609
119	0.4513960768
120	0.4499240323
121	0.4488451803
122	0.4480520596
123	0.4469308487
124	0.4459146683
125	0.4450137676
126	0.4443606118
127	0.4432782826
128	0.4420141195
129	0.4406900107
130	0.4399184473
131	0.4391635705
132	0.4383020595
133	0.4369693411
134	0.4361156967
135	0.4351889281
136	0.434230717
137	0.4327967869
138	0.4312065263
139	0.4302521397
140	0.429483565
141	0.4286442091
142	0.4279309118
143	0.4271612483
144	0.4259956242
145	0.4251733271
146	0.4242559215
147	0.4235412767
148	0.4228674662
149	0.422122729
150	0.421616696
151	0.4207693973
152	0.4198364616
153	0.4188671291
154	0.4181646524
155	0.4176606707
156	0.4168808399
157	0.4159748272
158	0.4151216226
159	0.41420785
160	0.4133812588
161	0.4126106909
162	0.4119380566
163	0.4114175151
164	0.4105936234
165	0.4100164126
166	0.4095234652
167	0.4088195804
168	0.4078822385
169	0.4070141595
170	0.4061451046
171	0.4059552186
172	0.4052080316
173	0.4045679053
174	0.4041804795
175	0.4034227875
176	0.4028786849
177	0.4020840362
178	0.4010048581
179	0.4002719518
180	0.3996107208
181	0.3984977727
182	0.397732541
183	0.3970610269
184	0.3962641089
185	0.3956090118
186	0.3950330761
187	0.394207145
188	0.3936100878
189	0.3927054709
190	0.3918232551
191	0.3910881717
192	0.3902435857
193	0.3896365355
194	0.3890848546
195	0.38841093
196	0.3879074471
197	0.3875727645
198	0.3868600125
199	0.3864722696
200	0.3859348369
201	0.3852542949
202	0.3845764584
203	0.3839288681
204	0.3832235699
205	0.3826688758
206	0.3821888644
207	0.3818187115
208	0.3810747107
209	0.3804403813
210	0.3800199005
211	0.3797574156
212	0.3792658505
213	0.3788523748
214	0.378191586
215	0.3776571464
216	0.3769553332
217	0.376211069
218	0.3756585508
219	0.37510615
220	0.3745063634
221	0.3737881089
222	0.3729998785
223	0.3724646614
224	0.3717638147
225	0.3713292138
226	0.3706028504
227	0.3701066465
228	0.3697380701
229	0.3694253791
230	0.3689192092
231	0.3684374761
232	0.3678149347
233	0.3672858174
234	0.3667739159
235	0.3663470505
236	0.365664353
237	0.3653364292
238	0.3648936421
239	0.3643300616
240	0.3637661591
241	0.3632000899
242	0.362354127
243	0.362013352
244	0.3616011518
245	0.3612067633
246	0.3609058815
247	0.3603707672
248	0.3598181269
249	0.3593715256
250	0.3590697217
251	0.3586509907
252	0.3583249693
253	0.3575603717
254	0.3572606066
255	0.3566681932
256	0.3560968655
257	0.3558104054
258	0.3554805195
259	0.3552229883
260	0.3547801197
261	0.3543945415
262	0.3538859127
263	0.3535219909
264	0.3528946995
265	0.3524020177
266	0.3521643381
267	0.3517958776
268	0.3513091054
269	0.3509991377
270	0.3504816223
271	0.3496784027
272	0.3493117148
273	0.348946225
274	0.3485232052
275	0.3479264637
276	0.3473227191
277	0.3466981404
278	0.3462420847
279	0.3459446925
280	0.3455878633
281	0.3450447482
282	0.3445727954
283	0.3440862496
284	0.3436941683
285	0.3434647124
286	0.3431259281
287	0.3427341408
288	0.3423364027
289	0.3417316073
290	0.3414332743
291	0.3408772606
292	0.3403401259
293	0.3400931767
294	0.3395822131
295	0.3388865673
296	0.3385719484
297	0.3381438738
298	0.3377307918
299	0.3372664613
300	0.3367733464
301	0.3364833998
302	0.3361111021
303	0.335759911
304	0.3354881747
305	0.3352051614
306	0.3349359409
307	0.3345563268
308	0.3340207881
309	0.333774943
310	0.3335646199
311	0.3333109895
312	0.3327784085
313	0.3326106886
314	0.3322892716
315	0.3319275222
316	0.3315271328
317	0.331238518
318	0.3308665226
319	0.3304796111
320	0.3300788776
321	0.3297659289
322	0.3294339157
323	0.3289848268
324	0.3286864696
325	0.3284223523
326	0.3280641628
327	0.327668313
328	0.3271744718
329	0.3269754998
330	0.326538298
331	0.3262872054
332	0.3259676157
333	0.3258342181
334	0.3253644231
335	0.3250095053
336	0.324769789
337	337	0.3229767338	338	0.3227375339	339	0.3222864340	340	0.3221295449
341	0.3218131081
342	0.3214236343	343	0.3208954245
344	0.320633345	0.3219220949
346	346	0.319864347	0.3211912078
348	0348	0.3188936524
349	0.318741350	0350	0.318547351	0.3200358585
352	0352	0.317937353	0353	0.3178302315
354	0.317393355	355	0.3168203356	0.3177996675
357	0.3175271412
358	0.3169656013
359	0.3167752429
360	0.3163161737
361	0.3160034946
362	0.3157562884
363	0.3153738004
364	0.3150523653
365	0.3145405642
366	0.3141845877
367	0.313587458
368	0.3132291417
369	0.313097869
370	0.3128063713
371	0.3124747961
372	0.3121929086
373	0.3118598434
374	0.3113441028
375	0.3109757197
376	0.3105483532
377	0.3101062471
378	0.3098146518
379	0.3096351351
380	0.3094332813
381	0.3090518179
382	0.3086758371
383	0.3083316627
384	0.3081387496
385	0.3076481277
386	0.3070213422
387	0.3064219579
388	0.3060934321
389	0.305576743
390	0.3052553777
391	0.3050956642
392	0.3047246089
393	0.3044422014
394	0.304311143
395	0.3040778082
396	0.3037274023
397	0.3032969412
398	0.302885147
399	0.3024921913
400	0.3021026554
401	0.301706096
402	0.3015359867
403	0.3012534264
404	0.3011452963
405	0.3009162316
406	0.3005424943
407	0.300275886
408	0.2999662977
409	0.299724857
410	0.2994755208
411	0.299178603
412	0.2988056156
413	0.2984707827
414	0.2980716121
415	0.297822815
416	0.2975572063
417	0.2973614701
418	0.2969359629
419	0.2965510059
420	0.2963828822
421	0.2961361053
422	0.2959873623
423	0.2957399816
424	0.2953979818
425	0.2953308114
426	0.2951756278
427	0.2947742205
428	0.294653374
429	0.2942024077
430	0.2937938146
431	0.2933703708
432	0.293000807
433	0.2926763211
434	0.2922283646
435	0.292062765
436	0.2918241926
437	0.2915322067
438	0.2912141023
439	0.291002214
440	0.2907392554
441	0.2904975117
442	0.2901496525
443	0.2896550339
444	0.2894175582
445	0.2891336347
446	0.2890181625
447	0.2885354546
448	0.2884428941
449	0.2882244908
450	0.2881425707
451	0.2879511414
452	0.2876457024
453	0.2873053504
454	0.2871654776
455	0.286858698
456	0.2865657769
457	0.2861076496
458	0.2857179164
459	0.2855513252
460	0.2853171934
461	0.2852794539
462	0.2849909602
463	0.2847520028
464	0.2844277678
465	0.2841306498
466	0.2838499768
467	0.2836740522
468	0.2834096782
469	0.2831288906
470	0.2830172322
471	0.2828479088
472	0.2826540768
473	0.2824141767
474	0.2820753281
475	0.2818281806
476	0.2816308882
477	0.2814562121
478	0.2810749003
479	0.2808084263
480	0.2804916998
481	0.2801714469
482	0.2799695062
483	0.2795662648
484	0.2793709516
485	0.2790445818
486	0.2788860736
487	0.2786388813
488	0.2785920335
489	0.2782434488
490	0.2777428427
491	0.2774162707
492	0.2770577066
493	0.2768762863
494	0.27647082
495	0.2763660524
496	0.2760138867
497	0.2758147671
498	0.275423507
499	0.2751544519
500	0.2748846492
501	0.274778847
502	0.274556554
503	0.2742306534
504	0.273804223
505	0.2734090359
506	0.2731023872
507	0.2728312108
508	0.2726892871
509	0.2723911969
510	0.2721805202
511	0.2718984562
512	0.2716233006
513	0.2714336617
514	0.2712075973
515	0.2710440465
516	0.2707960935
517	0.2704820887
518	0.2703086659
519	0.2700970695
520	0.2698701721
521	0.2696761503
522	0.2691459791
523	0.2689707288
524	0.268607045
525	0.2681719227
526	0.267991241
527	0.2679151335
528	0.2676667036
529	0.2673652981
530	0.2671513718
531	0.2667628114
532	0.266512175
533	0.2663187747
534	0.2660764798
535	0.2657947434
536	0.2654614139
537	0.2653744816
538	0.2650762043
539	0.2649735683
540	0.2647630486
541	0.2646337553
542	0.2644952652
543	0.2642237729
544	0.2639501063
545	0.2636231732
546	0.2631691464
547	0.2628808885
548	0.2626577004
549	0.2624461373
550	0.262071217
551	0.2618786935
552	0.2615833127
553	0.2614030939
554	0.2610607995
555	0.2606864387
556	0.2602451694
557	0.2599997052
558	0.2597899467
559	0.2594373627
560	0.2592091875
561	0.2590245019
562	0.2588548914
563	0.2586360453
564	0.2582950936
565	0.2581136206
566	0.2578832853
567	0.2575596341
568	0.2573206369
569	0.2571289628
570	0.2569654369
571	0.2567261855
572	0.2564185961
573	0.2561336991
574	0.2558478591
575	0.2556123993
576	0.2552924709
577	0.2550967638
578	0.2548492904
579	0.2545944587
580	0.2544897527
581	0.2542305022
582	0.2540263815
583	0.2538410529
584	0.2536716748
585	0.2534090329
586	0.2530253667
587	0.2528431816
588	0.2524395506
589	0.2523437808
590	0.2521427418
591	0.2518566706
592	0.2515964937
593	0.2512624443
594	0.2509417261
595	0.2508111663
596	0.2506866875
597	0.2505145794
598	0.2503231376
599	0.2498681986
600	0.2495842643
601	0.2494316354
602	0.2491515647
603	0.2487656524
604	0.24857723
605	0.248273718
606	0.2479690295
607	0.2477386077
608	0.2475856802
609	0.2473893755
610	0.2471867409
611	0.2469519797
612	0.2467137221
613	0.2466358303
614	0.246380127
615	0.2462405167
616	0.2461859361
617	0.2458984977
618	0.2456637233
619	0.2454431947
620	0.2452654112
621	0.2451443339
622	0.2449779142
623	0.2447094481
624	0.2445424299
625	0.2444067335
626	0.2442848693
627	0.2441280271
628	0.2439568817
629	0.2438038099
630	0.2435816321
631	0.243222875
632	0.2430556681
633	0.2429739646
634	0.2428438456
635	0.2426986616
636	0.2423293838
637	0.2422761977
638	0.2421006402
639	0.2420519714
640	0.2418751673
641	0.241743509
642	0.2414944656
643	0.2411344294
644	0.2409654026
645	0.2407663737
646	0.2405422529
647	0.2404338748
648	0.2402879245
649	0.2398461578
650	0.2396447194
651	0.2394853374
652	0.2393623765
653	0.239109197
654	0.2387146034
655	0.2383335656
656	0.2380948592
657	0.2377770211
658	0.2373880613
659	0.2371333982
660	0.2368522765
661	0.2364762387
662	0.2362291171
663	0.2359012165
664	0.2357830932
665	0.2354486778
666	0.2352173334
667	0.2349167347
668	0.2347515555
669	0.2344874682
670	0.2342644729
671	0.2340508057
672	0.2337839056
673	0.2336497836
674	0.2333960223
675	0.2331747078
676	0.2330381704
677	0.2328262972
678	0.2326269878
679	0.2324090458
680	0.2321780697
681	0.2320370264
682	0.2318242578
683	0.2317132334
684	0.2314559584
685	0.2311690793
686	0.231030067
687	0.2307829764
688	0.2306456184
689	0.2303766071
690	0.2301319179
691	0.2299042607
692	0.2297529783
693	0.2294060257
694	0.2291918437
695	0.228898748
696	0.2286972298
697	0.2285556246
698	0.2283631094
699	0.2281825735
700	0.2279510133
701	0.2277143642
702	0.2275917082
703	0.2274046126
704	0.2272694775
705	0.2271357586
706	0.2269530809
707	0.2266590189
708	0.2265127634
709	0.2263291028
710	0.2260597681
711	0.2257938396
712	0.2257438873
713	0.225641598
714	0.225509963
715	0.2252338908
716	0.2249394566
717	0.2246640888
718	0.2245375988
719	0.224300449
720	0.2240150652
721	0.2239228325
722	0.2237563013
723	0.2234930325
724	0.2232220858
725	0.2230478306
726	0.2228728194
727	0.729	0.2254321392
730	0.2253052534
731	0.2251391938
732	0.225034412
733	0.2247876393
734	0.2247223044
735	0.224442011
736	0.2244015855
737	0.224218573
738	0.2240061386
739	0.2237937795
740	0.2235795618
741	0.2234877099
742	0.2233369104
743	0.2231154635
744	0.2229888354
745	0.222833463
746	0.2227065145
747	0.2226003116
748	0.2225042203
749	0.2223654146
750	0.2223274374
751	0.2222324541
752	0.2220835161
753	0.2219005769
754	0.2217529386
755	0.2215306322
756	0.2211607591
757	0.2209371936
758	0.2208848727
759	0.2207359651
760	0.220612256
761	0.2204368354
762	0.2200717881
763	0.2198887677
764	0.2198451405
765	0.2197460807
766	0.2196734198
767	0.2195681109
768	0.2192153992
769	0.2190478826
770	0.2188404643
771	0.2187465534
772	0.2186759728
773	0.2186053923
774	0.2184038323
775	0.2182659615
776	0.2180562638
777	0.2179721865
778	0.217821615
779	0.2177181606
780	0.2176340389
781	0.2175705024
782	0.2174506313
783	0.2170131103
784	0.2167442247
785	0.2166057642
786	0.2164586375
787	0.2162418185
788	0.2160812245
789	0.215874767
790	0.2156960856
791	0.2154313327
792	0.2153272268
793	0.2151778779
794	0.2148914544
795	0.2145116123
796	0.2143225897
797	0.2141343379
798	0.2139631159
799	0.2137347395
800	0.213552509
801	0.2133822897
802	0.2132617482
803	0.2130973446
804	0.2129891336
805	0.2129308984
806	0.2127445214
807	0.2125908524
808	0.2123877943
809	0.2123292907
810	0.2122239931
811	0.2119457665
812	0.2118253628
813	0.2115792234
814	0.2113990649
815	0.2112135248
816	0.2110887884
817	0.2110012075
818	0.2108523923
819	0.2105722528
820	0.2102832584
821	0.2101291662
822	0.2099086794
823	0.209690145
824	0.2095825448
825	0.2094974445
826	0.2093078567
827	0.2090313604
828	0.2088240435
829	0.2085634075
830	0.2084786386
831	0.2082616239
832	0.2081769448
833	0.2080231054
834	0.2079212879
835	0.2078456387
836	0.207649813
837	0.20750483
838	0.2073050208
839	0.2072537613
840	0.2071131197
841	0.206978595
842	0.2068108837
843	0.2066741392
844	0.2064634282
845	0.2063258808
846	0.2062168189
847	0.2061207049
848	0.2059647619
849	0.2057262121
850	0.2055867908
851	0.2054256321
852	0.2053221814
853	0.2051748512
854	0.2048820908
855	0.2047612025
856	0.2045734692
857	0.2043547766
858	0.2041499946
859	0.2039215344
860	0.2036591984
861	0.2034968621
862	0.2033266546
863	0.2030411051
864	0.2028595388
865	0.2026392754
866	0.2023907832
867	0.2023494528
868	0.2021010894
869	0.2019711192
870	0.20185446
871	0.20176915
872	0.2013337244
873	0.2010994782
874	0.2009982218
875	0.2007273116
876	0.2005415426
877	0.200390769
878	0.2001670092
879	0.1999445542
880	0.1997150886
881	0.199585416
882	0.1993534839
883	0.1992042268
884	0.1989863677
885	0.1989071942
886	0.1988081848
887	0.1985148538
888	0.1983379691
889	0.1982547144
890	0.1981048351
891	0.1979460415
892	0.1978454688
893	0.1976925762
894	0.1975889675
895	0.1974840018
896	0.1974481378
897	0.1972842186
898	0.1970548917
899	0.196787694
900	0.196597989
901	0.1961861063
902	0.1960839329
903	0.1959583286
904	0.1958464571
905	0.1957327864
906	0.1956528924
907	0.1955116946
908	0.1954305768
909	0.1952209527
910	0.1951071139
911	0.1949861052
912	0.1946973196
913	0.1945550395
914	0.1944053939
915	0.1943209322
916	0.1941536941
917	0.1939757813
918	0.1938212429
919	0.1936121074
920	0.193391607
921	0.1931604114
922	0.1930074995
923	0.1927828909
924	0.1926278541
925	0.1924400176
926	0.1923077744
927	0.1920999976
928	0.1919776764
929	0.1918761265
930	0.1916176554
931	0.1913866743
932	0.191293743
933	0.191051047
934	0.1909092641
935	0.1908463487
936	0.1905617815
937	0.1904298843
938	0.1902961382
939	0.1899897558
940	0.1898332911
941	0.1896473598
942	0.1894599903
943	0.1892984794
944	0.1891803375
945	0.1889895999
946	0.1888173064
947	0.1887812825
948	0.1885254691
949	0.1884410838
950	0.1883069392
951	0.1881322309
952	0.1879872677
953	0.187883178
954	0.1877608841
955	0.1876017264
956	0.1874367874
957	0.1873160668
958	0.1869828674
959	0.1868422004
960	0.18658876
961	0.1865185962
962	0.1863692497
963	0.1862634432
964	0.18618046
965	0.1861195106
966	0.1860122008
967	0.185887979
968	0.1857177677
969	0.1854590372
970	0.185361102
971	0.1851531046
972	0.1849611963
973	0.1849129266
974	0.1847410254
975	0.1846228878
976	0.184213549
977	0.1841074084
978	0.183956289
979	0.1837697469
980	0.1835761525
981	0.1833805235
982	0.1832256732
983	0.1831203445
984	0.1829236515
985	0.1828395999
986	0.1827954917
987	0.1827174016
988	0.1825868429
989	0.1823791841
990	0.1822875607
991	0.1822510199
992	0.1820721724
993	0.1820098623
994	0.1819465076
995	0.1818285992
996	0.1815955469
997	0.1814388624
998	0.1813717386
999	0.1811833393
22
999	0.1788190067
351
0.1748958815
